word,count
covid19,510
the,502
in,414
to,358
of,327
and,265
a,237
is,229
for,214
no,203
with,160
tulsa,118
rally,117
on,114
that,104
mask,104
from,103
trumps,103
cdc,100
are,99
social,99
distancing,99
guidelines,99
new,98
indoors,97
requirementsall,97
violation,97
cases,86
this,79
my,79
have,73
has,72
black,68
some,62
found,61
yall,61
i,60
they,57
we,56
more,56
you,55
participants,55
football,53
positive,52
at,51
doctors,51
breaking,50
all,50
workers,49
as,48
be,48
than,45
were,44
essential,44
teachers,43
about,43
not,42
people,42
if,41
pandemic,38
their,38
it,38
florida,38
just,38
president,37
by,37
trump,37
players,36
health,36
im,35
another,35
but,33
s,32
record,32
who,30
test,29
an,29
was,29
deaths,29
every,29
everyone,28
will,27
after,27
please,26
your,26
what,25
so,25
can,25
because,25
amp,25
among,25
been,24
us,24
demanding,23
clemson,23
how,23
now,23
donate,22
our,22
way,22
its,22
away,21
ucla,21
added,21
them,21
hospitalized,21
dont,21
asking,20
baby,20
passed,20
activities,20
overnight,20
leadership,20
he,20
day,20
protecting,20
why,19
when,19
up,19
heart,19
towards,19
daughter,19
funeralmemorial,19
thirdparty,19
official,19
hand,19
announced,19
tested,19
should,19
tests,19
like,19
one,19
out,18
give,18
news,18
bars,18
bold,18
billion,18
his,18
time,17
t,17
delivered,17
historic,17
results25000000,17
tests15,17
pieces,17
state,17
million,17
know,16
or,16
number,16
do,16
global,16
cant,15
still,15
going,14
virus,14
very,14
today,14
nurse,14
testing,14
says,13
less,13
over,13
shit,13
during,13
student,13
did,13
coronavirus,13
hes,12
numbers,12
make,12
least,12
per,12
help,12
say,12
before,12
announces,12
athletes,12
nhs,12
curve,12
masks,11
stop,11
never,11
nurses,11
into,11
need,11
tigerland,11
player,11
shut,11
patients,11
there,11
risk,11
weeks,11
most,11
year,11
got,11
due,10
beat,10
these,10
increase,10
tactic,10
via,10
house,10
outbreak,10
exposed,10
june,10
members,10
lives,10
had,10
see,10
tories,10
hospitalizations,10
having,10
italy,10
continue,10
uk,10
wwe,10
aew,10
invested,10
talent,10
consequences,10
abuse,10
olds,10
impact,10
many,9
remember,9
those,9
shutdowns,9
delaying,9
die,9
great,9
event,9
nursing,9
any,9
staff,9
clapping,9
quietly,9
terminating,9
contracts,9
case,9
government,9
crisis,9
work,9
died,9
thousands,9
first,9
reports,8
response,8
high,8
stay,8
back,8
texas,8
department,8
ht,8
update,8
down,8
training,8
must,8
jonestown,8
rallylocation,8
oklahomadate,8
6202020time,8
donald,8
city,8
country,8
wear,8
week,8
study,8
friday,8
analysis,8
talk,8
breakingplanned,8
parenthood,8
filed,8
lawsuit,8
challenging,8
tennessees,8
sixweek,8
abortion,8
ban,8
navy,7
spread,7
anyone,7
face,7
under,7
reporting,7
inside,7
world,7
heres,7
reopening,7
p,7
yikes,7
connected,7
total,7
much,7
report,7
records,7
april,7
phone,7
business,7
point,7
me,7
hospital,7
growth,7
cuomo,7
live,7
being,7
find,7
sewage,7
vote,7
reported,7
county,7
get,7
daily,7
december,7
since,7
market,7
pay,6
protect,6
taking,6
wont,6
decision,6
wow,6
covid,6
sports,6
linked,6
last,6
enough,6
theres,6
lot,6
vaccine,6
food,6
against,6
bad,6
former,6
head,6
relief,6
arizona,6
medical,6
hell,6
story,6
white,6
hope,6
oklahoma,6
ring,6
while,6
americans,6
wearing,6
peop,6
n,6
officials,6
began,6
court,6
may,6
responsible,6
early,6
again,6
justice,6
ive,6
hate,6
other,6
learn,6
death,6
carolina,6
recent,6
scientists,6
trouble,6
flattening,6
flatten,6
stupidity,6
through,6
him,6
man,5
right,5
then,5
made,5
political,5
issue,5
good,5
wtf,5
rise,5
until,5
doesnt,5
friends,5
weekend,5
water,5
participant,5
would,5
recovery,5
support,5
money,5
take,5
largest,5
yesterday,5
symptoms,5
homes,5
nearly,5
questions,5
kill,5
capt,5
crozier,5
evidence,5
smart,5
latest,5
confirmed,5
start,5
concerningmuch,5
concerning,5
pence,5
indicate,5
count,5
sent,5
south,5
does,5
spike,5
fa,5
actually,5
mayor,5
american,5
suggests,5
using,5
gave,5
north,5
only,5
struggling,5
fight,5
york,5
posted,5
gl,5
george,5
well,5
result,5
already,5
saying,5
reminder,5
juneteenth,5
ministers,5
care,5
army,5
foodbanking,5
network,5
supports,5
banks,5
countriesthats,5
hit,5
thursday,5
forecast,5
could,5
healthy,5
forced,4
someone,4
lsuarea,4
closures,4
v,4
running,4
desantis,4
outrageous,4
visited,4
consider,4
themselves,4
selfquara,4
isnt,4
where,4
release,4
across,4
vice,4
children,4
cancer,4
blue,4
jays,4
serious,4
exist,4
destroyed,4
nick,4
full,4
center,4
h,4
worse,4
couldnt,4
march,4
uss,4
theodore,4
o,4
nba,4
infection,4
matthews,4
science,4
here,4
allow,4
show,4
said,4
canada,4
note,4
facts,4
ok,4
done,4
watney,4
party,4
spreading,4
